,dep_h,mean_delay_dep_h
0,00,-1.2472527472527473
1,01,3.75
2,02,5.526315789473684
3,03,5.366666666666666
4,04,11.666666666666666
5,05,-5.0036764705882355
6,06,-3.547529091733414
7,07,-1.8985823336968375
8,08,-1.217944638880051
9,09,-0.8341265644279923
10,10,0.37167252636865894
11,11,0.6399661303979678
12,12,1.9497031662269129
13,13,2.347907674985926
14,14,3.216794437511143
15,15,3.1804046146129408
16,16,4.114775004554564
17,17,3.8786833855799374
18,18,5.4224628372178385
19,19,4.243789716926632
20,20,4.95873786407767
21,21,4.4555077737347
22,22,4.186682520808561
23,23,0.3542538354253835
