,dest,mean_delay_dest
0,ABE,3.3636363636363638
1,ABI,3.2962962962962963
2,ABQ,4.551820728291316
3,ABR,-8.714285714285714
4,ABY,-5.0
5,ACK,-0.36363636363636365
6,ACT,8.157894736842104
7,ACV,8.933333333333334
8,ACY,-3.1714285714285713
9,ADQ,-4.285714285714286
10,AEX,4.886363636363637
11,AGS,2.2857142857142856
12,AKN,33.0
13,ALB,2.543859649122807
14,ALO,-1.1428571428571428
15,ALW,14.333333333333334
16,AMA,1.1571428571428573
17,ANC,-0.8754716981132076
18,APN,-14.0
19,ART,5.125
20,ASE,2.15625
21,ATL,-0.7328927733958644
22,ATW,2.9130434782608696
23,ATY,-24.0
24,AUS,2.235370611183355
25,AVL,3.8055555555555554
26,AVP,1.536231884057971
27,AZA,3.388888888888889
28,AZO,3.4
29,BDL,3.5323529411764705
30,BET,-2.923076923076923
31,BFF,-16.666666666666668
32,BFL,4.368421052631579
33,BFM,-33.0
34,BGM,0.4444444444444444
35,BGR,1.8405797101449275
36,BHM,4.834677419354839
37,BIL,-2.56
38,BIS,-3.3469387755102042
39,BJI,-10.714285714285714
40,BKG,5.8
41,BLI,0.48
42,BLV,9.181818181818182
43,BMI,5.0
44,BNA,2.2624750499001998
45,BOI,0.778169014084507
46,BOS,1.966647498562392
47,BPT,17.0
48,BQK,2.6153846153846154
49,BQN,10.0
50,BRD,-10.333333333333334
51,BRO,1.8
52,BRW,-7.384615384615385
53,BTM,-1.4285714285714286
54,BTR,1.568421052631579
55,BTV,4.575539568345324
56,BUF,3.2222222222222223
57,BUR,1.7679558011049723
58,BWI,0.7402700555996823
59,BZN,2.0208333333333335
60,CAE,1.4785714285714286
61,CAK,3.8117647058823527
62,CDC,-3.1538461538461537
63,CDV,-7.0
64,CGI,-18.22222222222222
65,CHA,3.4672131147540983
66,CHO,2.8555555555555556
67,CHS,1.1324503311258278
68,CID,2.4571428571428573
69,CIU,6.0
70,CKB,9.363636363636363
71,CLE,-0.5132605304212169
72,CLL,0.3333333333333333
73,CLT,-0.026494565217391304
74,CMH,0.8273026315789473
75,CMI,4.0
76,CMX,13.3
77,CNY,14.75
78,COD,12.3
79,COS,3.459016393442623
80,COU,11.064516129032258
81,CPR,5.55
82,CRP,0.8947368421052632
83,CRW,4.702702702702703
84,CSG,8.214285714285714
85,CVG,2.3805601317957166
86,CWA,2.3214285714285716
87,DAB,0.86
88,DAL,3.565075921908894
89,DAY,2.221105527638191
90,DBQ,2.076923076923077
91,DCA,1.1065623118603252
92,DEN,0.4075829383886256
93,DFW,1.6772714244769276
94,DHN,-0.9285714285714286
95,DIK,-9.25
96,DLG,-9.0
97,DLH,3.1142857142857143
98,DRO,7.0476190476190474
99,DRT,3.25
100,DSM,2.814814814814815
101,DTW,-2.2118561710398446
102,DUT,28.25
103,DVL,-6.111111111111111
104,EAR,10.0
105,EAT,9.058823529411764
