,origin,mean_delay_origin
0,ABE,0.5652173913043478
1,ABI,3.8076923076923075
2,ABQ,2.1775147928994083
3,ABR,-12.0
4,ABY,-9.444444444444445
5,ACK,4.25
6,ACT,5.7407407407407405
7,ACV,-1.4375
8,ACY,-0.08108108108108109
9,ADK,62.0
10,ADQ,11.125
11,AEX,-2.8958333333333335
12,AGS,4.413793103448276
13,AKN,9.0
14,ALB,-2.729591836734694
15,ALO,15.5
16,ALW,-0.35714285714285715
17,AMA,-3.80327868852459
18,ANC,-1.0167364016736402
19,APN,-17.375
20,ART,-20.6
21,ASE,-2.0422535211267605
22,ATL,0.7753487403706018
23,ATW,2.875
24,AUS,1.7027677496991576
25,AVL,1.8421052631578947
26,AVP,0.96
27,AZA,0.49206349206349204
28,AZO,-5.666666666666667
29,BDL,-1.214705882352941
30,BET,-1.875
31,BFF,-20.125
32,BFL,6.681818181818182
33,BGM,-10.125
34,BGR,-2.1159420289855073
35,BHM,2.4347826086956523
36,BIL,-4.782608695652174
37,BIS,-2.462686567164179
38,BJI,-11.181818181818182
39,BKG,-15.5
40,BLI,-0.6071428571428571
41,BLV,1.1764705882352942
42,BMI,1.5
43,BNA,1.6311239193083573
44,BOI,1.3571428571428572
45,BOS,1.1174863387978142
46,BPT,7.214285714285714
47,BQK,-3.3636363636363638
48,BQN,0.6666666666666666
49,BRD,-10.5
50,BRO,-4.0625
51,BRW,-6.8
52,BTM,-7.666666666666667
53,BTR,-0.7553191489361702
54,BTV,-2.185185185185185
55,BUF,-0.16300940438871472
56,BUR,1.8788732394366197
57,BWI,2.3838936669272868
58,BZN,-1.4479166666666667
59,CAE,-1.0491803278688525
60,CAK,-0.2127659574468085
61,CDC,-5.909090909090909
62,CDV,9.833333333333334
63,CGI,9.285714285714286
64,CHA,-3.451923076923077
65,CHO,2.5463917525773194
66,CHS,-0.038834951456310676
67,CID,1.4491525423728813
68,CIU,-8.666666666666666
69,CKB,8.428571428571429
70,CLE,-0.3787878787878788
71,CLL,-10.5
72,CLT,4.241037131882202
73,CMH,0.9838420107719928
74,CMI,0.6829268292682927
75,CMX,-13.166666666666666
76,CNY,-9.0
77,COD,-10.545454545454545
78,COS,2.2265625
79,COU,-1.5
80,CPR,-3.933333333333333
81,CRP,2.037974683544304
82,CRW,6.735849056603773
83,CSG,5.0
84,CVG,1.426517571884984
85,CWA,-0.8157894736842105
86,CYS,-4.333333333333333
87,DAB,1.0869565217391304
88,DAL,6.212218649517685
89,DAY,-1.6482412060301508
90,DBQ,0.0
91,DCA,0.5684803001876173
92,DEN,3.5623486682808716
93,DFW,5.441201000834028
94,DHN,-3.357142857142857
95,DIK,-2.0
96,DLG,-6.5
97,DLH,0.84375
98,DRO,-3.872340425531915
99,DRT,-10.375
100,DSM,1.9895833333333333
101,DTW,-1.3952333664349552
102,DUT,-7.7
103,DVL,-0.7777777777777778
104,EAR,-13.875
105,EAT,10.692307692307692
106,EAU,-3.1
107,ECP,1.0
108,EGE,5.035714285714286
109,EKO,-10.875
110,ELM,-3.9
111,ELP,0.59375
112,ERI,-4.391304347826087
113,ESC,-4.285714285714286
114,EUG,2.327272727272727
115,EVV,-2.3896103896103895
116,EWN,-6.888888888888889
117,EWR,3.425646551724138
118,EYW,-2.7142857142857144
119,FAI,-4.618181818181818
120,FAR,0.16883116883116883
121,FAT,-0.38028169014084506
122,FAY,-0.19672131147540983
123,FCA,-0.8524590163934426
124,FLG,-9.117647058823529
125,FLL,3.4639865996649917
