,route,mean_delay_route
0,ABEATL,3.642857142857143
1,ABECLT,3.230769230769231
2,ABEDTW,-6.461538461538462
3,ABEFLL,24.0
4,ABEMYR,23.0
5,ABEORD,12.666666666666666
6,ABEPGD,11.0
7,ABEPHL,-7.615384615384615
8,ABESFB,-4.0
9,ABIDFW,3.8076923076923075
10,ABQATL,-5.384615384615385
11,ABQAUS,13.666666666666666
12,ABQBWI,3.8181818181818183
13,ABQDAL,8.608695652173912
14,ABQDEN,-1.9655172413793103
15,ABQDFW,-2.3666666666666667
16,ABQHOU,0.4166666666666667
17,ABQIAH,-0.5625
18,ABQJFK,2.6666666666666665
19,ABQLAS,12.217391304347826
20,ABQLAX,2.2758620689655173
21,ABQMCI,-1.6666666666666667
22,ABQMCO,15.0
23,ABQMDW,2.0
24,ABQMSP,-14.333333333333334
25,ABQOAK,-3.388888888888889
26,ABQORD,-0.6666666666666666
27,ABQPDX,-7.2
28,ABQPHX,4.86
29,ABQSAN,-0.2222222222222222
30,ABQSAT,50.0
31,ABQSEA,8.0
32,ABQSFO,4.333333333333333
33,ABQSLC,-1.5
34,ABRMSP,-12.0
35,ABYATL,-9.444444444444445
36,ACKBOS,6.0
37,ACKEWR,-2.0
38,ACKJFK,2.0
39,ACKLGA,15.5
40,ACTDFW,5.7407407407407405
41,ACVLAX,-3.5
42,ACVSFO,-0.75
43,ACYATL,14.5
44,ACYFLL,0.75
45,ACYMCO,6.6
46,ACYMSY,-33.0
47,ACYMYR,-10.0
48,ACYPBI,-12.5
49,ACYRSW,3.0
50,ACYTPA,-17.666666666666668
51,ADKANC,62.0
52,ADQANC,11.125
53,AEXATL,-10.363636363636363
54,AEXDFW,1.0
55,AEXIAH,5.846153846153846
56,AGSATL,5.9411764705882355
57,AGSCLT,4.0
58,AGSDCA,-30.0
59,AGSDFW,-4.0
60,AKNANC,9.0
61,ALBATL,-7.454545454545454
62,ALBBWI,0.6896551724137931
63,ALBCLT,-9.818181818181818
64,ALBDCA,3.466666666666667
65,ALBDEN,2.0
66,ALBDTW,-5.833333333333333
67,ALBEWR,1.0
68,ALBFLL,-8.833333333333334
69,ALBIAD,-13.307692307692308
70,ALBMCO,1.5
71,ALBMDW,-6.5
72,ALBMSP,-18.5
73,ALBMYR,-19.5
74,ALBORD,1.3846153846153846
75,ALBPGD,6.0
76,ALBPHL,-3.2857142857142856
77,ALBPIE,-4.0
78,ALBRSW,32.0
79,ALBSFB,-14.0
80,ALBTPA,-5.428571428571429
81,ALOORD,15.5
82,ALWSEA,-0.35714285714285715
83,AMADAL,-5.277777777777778
84,AMADEN,-0.6666666666666666
85,AMADFW,-1.0526315789473684
86,AMAIAH,-9.2
87,AMALAS,-3.25
88,AMAPHX,-19.5
89,ANCADQ,-4.285714285714286
90,ANCAKN,33.0
91,ANCATL,1.0
92,ANCBET,-2.923076923076923
93,ANCCDV,-0.3333333333333333
94,ANCDEN,-12.7
95,ANCDFW,-23.0
96,ANCDLG,-9.0
97,ANCDUT,28.25
98,ANCFAI,-1.9166666666666667
99,ANCHNL,-6.166666666666667
100,ANCJNU,5.105263157894737
101,ANCLAX,-7.571428571428571
102,ANCMSP,-10.0
103,ANCOME,-19.5
104,ANCORD,4.125
105,ANCOTZ,-1.5384615384615385
106,ANCPDX,2.5294117647058822
107,ANCPHX,18.5
108,ANCSCC,-3.75
109,ANCSEA,-2.506172839506173
110,ANCSFO,6.0
111,APNDTW,-16.25
112,APNPLN,-18.5
113,ARTPHL,-20.6
114,ASEATL,-26.0
115,ASEDEN,-4.222222222222222
116,ASEDFW,-0.14285714285714285
117,ASEIAH,3.375
118,ASELAX,-2.1333333333333333
